2597 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymA_cool_star_SN', '64', '.5', 'match_LCDM_vanilla_SymA_cool_star_SN']
LCDM_vanilla	SymA_cool_star_SN
1365	3653
1366	None
1367	None
1368	None
1369	None
1370	4127
1371	2106
1372	None
1373	1581
1374	3820
1375	1335
1376	1950
1377	1478
1378	1838
1379	3077
1380	2734
1381	None
1382	None
1383	None
1384	None
1385	None
1386	None
1387	None
1388	None
1389	None
1390	None
1391	None
1392	1519
1393	None
1394	None
1395	1775
1396	3001
1397	3895
1398	None
1399	None
1400	None
1401	None
1402	None
1403	None
1404	2860
1405	2527
1406	None
1407	None
1408	None
1409	None
1410	2095
1411	1708
1412	3358
1413	2591
1414	3847
1415	1539
1416	1522
1417	None
1418	3158
1419	None
1420	None
1421	2054
1422	None
1423	2063
1424	None
1425	None
1426	2022
1427	None
1428	3400
1429	None
1430	3999
1431	None
1432	2093
1433	1553
1434	None
1435	None
1436	None
1437	1674
1438	None
1439	1606
1440	None
1441	None
1442	None
1443	1961
1444	None
1445	None
1446	None
1447	1628
1448	4568
1449	None
1450	None
1451	2807
1452	None
1453	2083
1454	None
1455	3991
1456	None
1457	3209
1458	1837
1459	None
1460	3292
1461	None
1462	None
1463	1817
1464	2826
1465	None
1466	None
1467	1849
1468	2797
1469	3509
1470	1073
1471	1800
1472	2725
1473	3025
1474	None
1475	None
1476	2163
1477	None
1478	1860
1479	None
1480	3615
1481	984
1482	2114
1483	None
1484	None
1485	None
1486	1655
1487	None
1488	1619
1489	None
1490	1518
1491	None
1492	None
1493	None
1494	None
1495	3325
1496	None
1497	None
1498	None
1499	None
1500	None
1501	3879
1502	1759
1503	None
1504	None
1505	2439
1506	None
1507	None
1508	None
1509	1548
1510	2230
1511	1960
1512	None
1513	None
1514	3528
1515	None
1516	None
1517	None
1518	None
1519	None
1520	None
1521	2153
1522	3171
1523	2959
1524	None
1525	2608
1526	1124
1527	None
1528	None
1529	None
1530	None
1531	None
1532	1031
1533	None
1534	None
1535	None
1536	3582
1537	None
1538	None
1539	2270
1540	1650
1541	None
1542	None
1543	2076
1544	2544
1545	None
1546	None
1547	4243
1548	None
1549	None
1550	None
1551	None
1552	None
1553	None
1554	996
1555	2424
1556	None
1557	None
1558	1818
1559	None
1560	None
1561	None
1562	2047
1563	4241
1564	None
1565	3746
1566	504
1567	None
1568	3950
1569	3753
1570	None
1571	None
1572	2377
1573	None
1574	4228
1575	3483
1576	5280
1577	631
1578	None
1579	None
1580	3592
1581	2579
1582	None
1583	None
1584	None
1585	None
1586	None
1587	3306
1588	2225
1589	None
1590	None
1591	3375
1592	1878
1593	None
1594	1806
1595	None
1596	3063
1597	3616
1598	None
1599	3092
1600	2083
1601	None
1602	None
1603	None
1604	2762
1605	None
1606	2751
1607	None
1608	None
1609	1973
1610	None
1611	None
1612	2170
1613	729
1614	6594
1615	None
1616	1957
1617	2750
1618	2658
1619	None
1620	None
1621	None
1622	None
1623	3235
1624	3506
1625	None
1626	None
1627	3569
1628	2286
1629	2676
1630	None
1631	2573
1632	None
1633	3808
1634	None
1635	3099
1636	None
1637	None
1638	None
1639	3517
1640	3585
1641	None
1642	None
1643	2243
1644	3842
1645	None
1646	None
1647	943
1648	None
1649	None
1650	2409
1651	1783
1652	3991
1653	None
1654	3114
1655	None
1656	None
1657	None
1658	3510
1659	2036
1660	1953
1661	4558
1662	3293
1663	None
1664	1480
1665	2285
1666	1190
1667	None
1668	1943
1669	3392
1670	None
1671	2070
1672	3515
1673	None
1674	None
1675	None
1676	None
1677	None
1678	None
1679	None
1680	2274
1681	2029
1682	None
1683	2499
1684	None
1685	None
1686	None
1687	None
1688	4172
1689	None
1690	4124
1691	3287
1692	1816
1693	None
1694	None
1695	None
1696	None
1697	3734
1698	2641
1699	None
1700	None
1701	None
1702	None
1703	3544
1704	4056
1705	3466
1706	1704
1707	None
1708	None
1709	None
1710	2217
1711	2362
1712	3163
1713	None
1714	None
1715	2483
1716	1987
