1603 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymD_DM', '64', '.5', 'match_LCDM_vanilla_SymD_DM']
LCDM_vanilla	SymD_DM
1214	None
1215	2977
1216	None
1217	None
1218	None
1219	None
1220	None
1221	None
1222	None
1223	None
1224	None
1225	None
1226	None
1227	None
1228	2740
1229	2160
1230	None
1231	None
1232	None
1233	None
1234	1980
1235	None
1236	None
1237	None
1238	2246
1239	None
1240	None
1241	2312
1242	None
1243	None
1244	None
1245	None
1246	None
1247	None
1248	None
1249	None
1250	None
1251	None
1252	2108
1253	None
1254	None
1255	None
1256	2938
1257	1687
1258	None
1259	None
1260	None
1261	None
1262	2630
1263	None
1264	1037
1265	1819
1266	2352
1267	None
1268	None
1269	2177
1270	None
1271	2850
1272	None
1273	None
1274	None
1275	None
1276	None
1277	None
1278	None
1279	None
1280	None
1281	None
1282	None
1283	None
1284	None
1285	2232
1286	None
1287	None
1288	1648
1289	None
1290	2310
1291	1826
1292	None
1293	None
1294	None
1295	None
1296	None
1297	2386
1298	1723
1299	1385
1300	None
1301	None
1302	None
1303	None
1304	None
1305	2629
1306	None
1307	None
1308	None
1309	None
1310	None
1311	None
1312	1401
1313	None
1314	None
1315	2611
1316	None
1317	None
1318	3284
1319	2309
1320	None
1321	None
1322	None
1323	None
1324	None
1325	None
1326	None
1327	1205
1328	None
1329	None
1330	None
1331	None
1332	None
1333	None
1334	None
1335	None
1336	None
1337	None
1338	None
1339	None
1340	None
1341	None
1342	None
1343	None
1344	None
1345	None
1346	2281
1347	None
1348	None
1349	None
1350	None
1351	2609
1352	None
1353	2228
1354	None
1355	None
1356	2262
1357	2551
1358	None
1359	1804
1360	None
1361	1561
1362	2004
1363	1083
1364	None
1365	2258
1366	None
1367	None
1368	None
1369	None
1370	2097
1371	3452
1372	None
1373	None
1374	None
1375	1955
1376	1872
1377	None
1378	2287
1379	3489
1380	None
1381	None
1382	None
1383	None
1384	None
1385	None
1386	None
1387	None
1388	1734
1389	None
1390	None
1391	None
1392	1534
1393	None
1394	None
1395	1677
1396	None
1397	None
1398	None
1399	None
1400	None
1401	451
1402	None
1403	869
1404	3600
1405	2476
1406	None
1407	None
1408	None
1409	None
1410	None
1411	1818
1412	None
1413	4010
1414	None
1415	None
1416	None
1417	None
1418	None
1419	None
1420	None
1421	1130
1422	3445
1423	2103
1424	None
1425	None
1426	None
1427	None
1428	None
1429	None
1430	3042
1431	None
1432	None
1433	None
1434	None
1435	None
1436	None
1437	None
1438	None
1439	2615
1440	None
1441	2764
1442	None
1443	1725
1444	None
1445	None
1446	None
1447	None
1448	None
1449	3540
1450	None
1451	2381
1452	None
1453	2775
1454	None
1455	None
1456	None
1457	1701
1458	None
1459	None
1460	None
1461	None
1462	None
1463	None
1464	None
1465	None
1466	None
1467	None
1468	None
1469	3163
1470	1030
1471	1164
1472	2179
1473	None
1474	None
1475	None
1476	None
1477	None
1478	None
1479	None
1480	None
1481	630
1482	None
1483	None
1484	None
1485	None
1486	2697
1487	None
1488	1713
1489	None
1490	None
1491	None
1492	None
1493	None
1494	None
1495	None
1496	None
1497	None
1498	None
1499	None
1500	None
1501	None
1502	3656
1503	None
1504	None
1505	3537
1506	None
1507	None
1508	None
1509	None
1510	None
1511	None
1512	None
1513	4008
1514	886
1515	None
1516	None
1517	1908
1518	None
1519	None
1520	None
1521	None
1522	None
1523	2121
1524	None
1525	None
1526	None
1527	None
1528	None
1529	None
1530	None
1531	None
1532	1104
1533	None
1534	None
1535	None
1536	None
1537	None
1538	1805
1539	None
1540	None
1541	None
1542	None
1543	None
1544	None
1545	2930
1546	None
1547	2511
1548	None
1549	None
1550	None
1551	None
1552	None
1553	None
1554	955
1555	2227
1556	3247
1557	None
1558	None
1559	None
1560	None
1561	None
1562	None
1563	None
1564	None
1565	1974
1566	552
1567	2022
1568	None
1569	None
1570	None
1571	None
1572	2028
1573	None
1574	None
1575	None
1576	None
1577	672
1578	2090
1579	2679
1580	2266
1581	None
1582	None
1583	None
1584	None
1585	4153
1586	None
1587	None
1588	1970
1589	None
1590	None
1591	None
1592	None
1593	3775
1594	None
1595	None
1596	None
1597	2132
1598	3338
1599	4054
1600	2775
1601	None
1602	None
1603	None
1604	None
1605	None
1606	None
1607	None
1608	None
1609	None
1610	None
1611	None
1612	None
1613	1109
1614	None
1615	None
1616	None
1617	None
1618	4501
1619	None
1620	None
1621	None
1622	None
1623	2268
1624	463
1625	None
1626	None
1627	4463
1628	2254
1629	None
1630	None
1631	4711
1632	None
1633	3107
1634	None
1635	1003
1636	None
1637	None
1638	None
1639	3166
1640	461
1641	None
1642	None
1643	2433
1644	2962
1645	None
1646	None
1647	None
1648	None
1649	None
1650	None
1651	None
1652	4036
1653	None
1654	None
1655	2107
1656	None
1657	None
1658	None
1659	None
1660	None
1661	None
1662	None
1663	4166
1664	599
1665	3838
1666	1229
1667	None
1668	2346
1669	None
1670	None
1671	None
1672	None
1673	None
1674	None
1675	None
1676	4384
1677	None
1678	None
1679	2444
1680	3321
1681	None
1682	None
1683	None
1684	None
1685	2505
1686	None
1687	None
1688	None
1689	None
1690	3265
1691	None
1692	3368
1693	3409
1694	None
1695	None
1696	None
1697	None
1698	None
1699	None
1700	None
1701	None
1702	None
1703	None
1704	None
1705	None
1706	1073
1707	None
1708	None
1709	2727
1710	None
1711	3981
1712	None
1713	None
1714	None
1715	4325
1716	3276
1717	4384
1718	None
1719	None
1720	None
1721	None
1722	None
1723	None
1724	None
1725	None
1726	None
1727	2355
1728	None
1729	None
1730	None
1731	None
1732	3343
1733	None
1734	None
1735	2288
1736	None
1737	None
1738	None
1739	3320
1740	None
1741	None
1742	None
1743	2812
1744	2616
1745	None
1746	None
1747	None
